id,pair_type,comet_score
1,base_tf,0.971679151058197
1,base_es,0.9338197112083435
1,tf_es,0.943780779838562
2,base_tf,0.9331899285316467
2,base_es,0.916483461856842
2,tf_es,0.9284715056419373
3,base_tf,0.9583122730255127
3,base_es,0.9388779997825623
3,tf_es,0.9408308863639832
4,base_tf,0.9145136475563049
4,base_es,0.9414625763893127
4,tf_es,0.8893851041793823
5,base_tf,0.9125539064407349
5,base_es,0.9302222728729248
5,tf_es,0.8642087578773499
6,base_tf,0.9568012356758118
6,base_es,0.9222432971000671
6,tf_es,0.9140689969062805
7,base_tf,0.9316487908363342
7,base_es,0.9297420382499695
7,tf_es,0.9230767488479614
8,base_tf,0.9244447350502014
8,base_es,0.9266594052314758
8,tf_es,0.9110931158065796
9,base_tf,0.9409562945365906
9,base_es,0.9403415322303772
9,tf_es,0.9441039562225342
10,base_tf,0.9285517334938049
10,base_es,0.9141302704811096
10,tf_es,0.8969431519508362
11,base_tf,0.9541018009185791
11,base_es,0.9667369723320007
11,tf_es,0.9440215826034546
12,base_tf,0.9298651218414307
12,base_es,0.8937814831733704
12,tf_es,0.9357318878173828
13,base_tf,0.9303916692733765
13,base_es,0.9117355942726135
13,tf_es,0.9432575106620789
14,base_tf,0.9160980582237244
14,base_es,0.9358026385307312
14,tf_es,0.8897117972373962
15,base_tf,0.9463102221488953
15,base_es,0.9212902188301086
15,tf_es,0.909232497215271
16,base_tf,0.884501576423645
16,base_es,0.8897673487663269
16,tf_es,0.8800237774848938
17,base_tf,0.8854788541793823
17,base_es,0.8875777125358582
17,tf_es,0.8310518860816956
18,base_tf,0.9304396510124207
18,base_es,0.9128243327140808
18,tf_es,0.8714130520820618
19,base_tf,0.8583954572677612
19,base_es,0.8719913363456726
19,tf_es,0.8626160025596619
20,base_tf,0.96951824426651
20,base_es,0.9673358201980591
20,tf_es,0.9560961127281189
21,base_tf,0.9368776679039001
21,base_es,0.9386309385299683
21,tf_es,0.9186055064201355
22,base_tf,0.969303548336029
22,base_es,0.8985991477966309
22,tf_es,0.894406795501709
23,base_tf,0.9463452100753784
23,base_es,0.9551490545272827
23,tf_es,0.9438233971595764
24,base_tf,0.9420654773712158
24,base_es,0.9285931587219238
24,tf_es,0.9312156438827515
25,base_tf,0.8774776458740234
25,base_es,0.9139432311058044
25,tf_es,0.8996246457099915
26,base_tf,0.9304667115211487
26,base_es,0.9572254419326782
26,tf_es,0.914804995059967
27,base_tf,0.9577295184135437
27,base_es,0.950305163860321
27,tf_es,0.9450998306274414
28,base_tf,0.9523806571960449
28,base_es,0.9452371597290039
28,tf_es,0.9467738270759583
29,base_tf,0.880084216594696
29,base_es,0.9141632914543152
29,tf_es,0.7979689836502075
30,base_tf,0.9388945698738098
30,base_es,0.9341259002685547
30,tf_es,0.9424408078193665
31,base_tf,0.9570490121841431
31,base_es,0.9653443694114685
31,tf_es,0.9552112221717834
32,base_tf,0.9491121172904968
32,base_es,0.9171732664108276
32,tf_es,0.8911752104759216
33,base_tf,0.9503368139266968
33,base_es,0.9541738629341125
33,tf_es,0.9520105123519897
34,base_tf,0.9673510789871216
34,base_es,0.9619908928871155
34,tf_es,0.9583855271339417
35,base_tf,0.9409990906715393
35,base_es,0.921183168888092
35,tf_es,0.8883265852928162
36,base_tf,0.9615861773490906
36,base_es,0.9568976759910583
36,tf_es,0.9297488331794739
37,base_tf,0.9346572160720825
37,base_es,0.9340261220932007
37,tf_es,0.9016476273536682
38,base_tf,0.9181715250015259
38,base_es,0.9381301403045654
38,tf_es,0.8901345133781433
39,base_tf,0.9459419846534729
39,base_es,0.9505335092544556
39,tf_es,0.9230806231498718
40,base_tf,0.9095004796981812
40,base_es,0.9400330185890198
