metric,count,mean,std,median,iqr,min,max
bleu,1500,0.6291685018709993,0.125749664137142,0.6042750794713536,0.112503223685187,0.133280336353857,0.8694417438899829
bertscore_f1,1500,0.96063283762,0.0089494129384876,0.96105685,0.0116496024999999,0.9103605,0.9825811
bertscore_p,1500,0.96069446062,0.0089093816289322,0.96106692,0.0116407374999999,0.9181788,0.982581
bertscore_r,1500,0.9605724838133336,0.0090523849234652,0.96098975,0.011619975,0.89593685,0.9825811
comet_score,1500,0.9233739210764567,0.03141300454482026,0.9296171069145203,0.040993109345436096,0.7794057130813599,0.9717615842819214
