metric,count,mean,std,median,iqr,min,max
bleu,1500,0.6291685018709993,0.12574966413714203,0.6042750794713536,0.11250322368518706,0.133280336353857,0.8694417438899829
bertscore_f1,1500,0.96063284034,0.008949413051156293,0.9610567999999999,0.011649612499999962,0.9103605,0.9825811
bertscore_p,1500,0.9606944631200001,0.008909380794065785,0.9610669000000001,0.011640704999999918,0.9181789,0.982581
bertscore_r,1500,0.9605724860933332,0.00905238510272826,0.96098974,0.011620030000000003,0.89593685,0.9825811
