group_by,group_value,metric,count,mean,std,median,iqr,min,max
pair_type,base_es,bleu,500,0.5622724928966066,0.12146453007687695,0.5946035575013605,0.21112840064848581,0.133280336353857,0.8408964152537146
pair_type,base_es,bertscore_f1,500,0.95880357502,0.008687983438992608,0.9593625100000001,0.011235979999999923,0.9103605,0.98079413
pair_type,base_es,bertscore_p,500,0.95886657124,0.008536796567246544,0.959446215,0.01114944749999991,0.92525613,0.9807942
pair_type,base_es,bertscore_r,500,0.9587423031400001,0.008920676620392805,0.959395055,0.011137189999999908,0.89593685,0.9807942
pair_type,base_tf,bleu,500,0.6361417835269365,0.09890443094313583,0.6042750794713536,0.10283170171519396,0.3766136530980537,0.8408964152537146
pair_type,base_tf,bertscore_f1,500,0.9602439311200001,0.008912747785798317,0.96078405,0.01147184999999995,0.9296987,0.9825811
pair_type,base_tf,bertscore_p,500,0.96030966958,0.008879331299704061,0.960806815,0.011469700000000027,0.9291594,0.982581
pair_type,base_tf,bertscore_r,500,0.9601797914800001,0.009028007553418357,0.96078408,0.011606547500000008,0.9298953,0.9825811
pair_type,tf_es,bleu,500,0.6890912291894543,0.12180269667219625,0.7071067811865476,0.190995649295697,0.133280336353857,0.8694417438899829
pair_type,tf_es,bertscore_f1,500,0.96285100672,0.008788871555596066,0.9631605000000001,0.011788124999999927,0.9210656,0.98191744
pair_type,tf_es,bertscore_p,500,0.9629071410400001,0.008850308769014487,0.9632708999999999,0.011834412500000058,0.9181788,0.98191744
pair_type,tf_es,bertscore_r,500,0.9627953568200001,0.008753297067108864,0.96309925,0.011798004999999945,0.9239707,0.98191744
