group_by,group_value,metric,count,mean,std,median,iqr,min,max
switch_point_bucket,1_switch,bleu,282,0.6091625115814252,0.1534835764692774,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8694417438899829
switch_point_bucket,1_switch,bertscore_f1,282,0.961343805957447,0.008723067935386655,0.9616528799999999,0.01262717499999999,0.9330451,0.98042256
switch_point_bucket,1_switch,bertscore_p,282,0.9614173491489362,0.008784387991642877,0.9616528799999999,0.01264208499999997,0.9330451,0.98042256
switch_point_bucket,1_switch,bertscore_r,282,0.961270805886525,0.008691310265909143,0.96153257,0.012573347500000054,0.9330451,0.9804226
switch_point_bucket,2_switch,bleu,732,0.6307223641272989,0.13059286933810732,0.6042750794713536,0.11250322368518706,0.1520904838654684,0.8694417438899829
switch_point_bucket,2_switch,bertscore_f1,732,0.9608865299590164,0.00893601210852361,0.961270835,0.011470187499999951,0.9325342,0.9825811
switch_point_bucket,2_switch,bertscore_p,732,0.9609568574453553,0.008918147696072378,0.961285685,0.01135887499999999,0.93218964,0.982581
switch_point_bucket,2_switch,bertscore_r,732,0.9608174546721312,0.009018592595548176,0.96122348,0.011470224999999945,0.9327713,0.9825811
switch_point_bucket,3plus_switch,bleu,486,0.6384365308628686,0.09590437940699047,0.6042750794713536,0.10283170171519396,0.133280336353857,0.8694417438899829
switch_point_bucket,3plus_switch,bertscore_f1,486,0.959838195925926,0.009059651654435466,0.960365445,0.010835750000000033,0.9103605,0.98118615
switch_point_bucket,3plus_switch,bertscore_p,486,0.9598797918106996,0.008926220711730295,0.960383675,0.010907322499999927,0.9181788,0.98118615
switch_point_bucket,3plus_switch,bertscore_r,486,0.9597983161316873,0.009270452177337615,0.960365445,0.010835732500000028,0.89593685,0.98118615
